Gene	Module
akt2.l[akt2(2e-39)]	1
akt2.s[akt2(0.0)]	26
alas1.l[alas1(0.0)]	7
alcam.l[alcam(1e-75)]	19
alcam.s[alcam(0.0)]	19
aldh16a1.s[aldh16a1(0.0)]	1
aldh18a1.l[aldh18a1(0.0)]	8
aldh1a2.l[aldh1a2(2e-35)]	113
aldh1a2.s[aldh1a2(2e-36)]	113
aldh1l1.l[aldh1l1(3e-49)]	50
aldh3a2.l[aldh3a2(0.0)]	70
aldh3a2.s[aldh3a2(0.0)]	1
aldh3b1-like.1.l[aldh3b1(0.0)]	119
aldh5a1.s[aldh5a1(1e-167)]	15
aldh6a1.l[aldh6a1(5e-179)]	1
aldh6a1.s[aldh6a1(0.0)]	12
aldh7a1.s[aldh7a1(0.0)]	24
aldh9a1.s[aldh9a1(0.0)]	49
aldob.l[aldob(0.0)]	54
alg10.s[alg10(0.0)]	1
alg2.l[alg2(1e-71)]	7
alg5.l[alg5(0.0)]	30
alg6.l[alg6(6e-127)]	10
alg8.s[alg8(0.0)]	6
alg9-like.l[alg9(0.0)|fdxacb1(4e-58)]	69
alkbh4-like.l[alkbh4(0.0)]	71
alkbh5.l[alkbh5(0.0)]	1
alkbh5.s[alkbh5(4e-143)]	10
alkbh8.s[alkbh8(0.0)]	1
als2-like.l[als2(0.0)]	18
als2cl-like.l[als2cl(0.0)]	35
alx4.l[alx4(5e-167)]	38
alyref.1[thoc4(0.0)]	17
alyref.l[thoc4(0.0)]	3
amd1.l[amd1(2e-55)]	16
amd1.s[amd1(0.0)]	4
amdhd1.l[amdhd1(0.0)]	1
amer1.l[amer1(4e-54)]	94
amfr.l[amfr(9e-129)]	6
amotl1.l[amotl1(0.0)]	9
amotl2-like.l[amotl2(0.0)]	0
amotl2-like.s[amotl2(0.0)]	3
anapc1.s[anapc1(0.0)]	6
anapc11.l	40
anapc15.s[c11orf51(6e-161)]	49
anapc7.s[anapc7(0.0)]	135
angpt4.l[angpt4(0.0)]	53
angpt4.s[angpt4(0.0)]	9
ank3.l[ank3(9e-140)]	45
ankhd1.l[ankhd1(0.0)]	5
ankhd1.s[ankhd1(0.0)]	15
ankle2-like.l[ankle2(0.0)]	66
ankrd10.l[ankrd10(0.0)]	46
ankrd10.s[ankrd10(0.0)]	128
ankrd12.s[ankrd12(1e-159)]	111
ankrd13a.l[ankrd13a(0.0)]	18
ankrd13a.s[ankrd13a(0.0)]	1
ankrd13c.l[ankrd13c(0.0)]	15
ankrd13c.s[ankrd13c(0.0)]	55
ankrd17.l[ankrd17(5e-174)]	21
ankrd17.s[ankrd17(1e-115)]	21
ankrd27-like.l	6
ankrd35.l[ankrd35(0.0)]	20
ankrd40.l[ankrd40(2e-126)]	6
ankrd50.l[ankrd50(0.0)]	95
ankrd50.s[ankrd50(0.0)]	19
ankrd65.l	20
ankrd7.l[ankrd26(4e-66)]	81
ankrd7.s[ankrd26(2e-24)]	98
ankrd9.l[ankrd9(0.0)]	114
anln-like.1.l	8
anln-like.2.l[anln(3e-144)]	96
ano5.l[ano5(0.0)]	9
anp32a.l[anp32a(2e-92)]	2
anp32a.s[anp32a(5e-96)]	10
anp32b.l[anp32b(0.0)]	3
anp32c.l[anp32c(5e-76)]	40
anp32c.s[anp32c(0.0)]	12
anp32e.l[anp32e(1e-34)]	11
anp32e.s[anp32e(2e-89)]	11
anpep.s[anpep(8e-60)]	111
anxa1-like.1.s[anxa1(0.0)]	10
anxa2.l[anxa2(0.0)]	5
anxa2.s[anxa2(0.0)]	4
anxa3.l[anxa3(5e-167)]	12
anxa4.l[anxa4(2e-72)]	36
anxa5.l[anxa5(0.0)]	49
anxa7.1[anxa7(0.0)]	52
anxa7.l[anxa7(0.0)]	30
anxa9.l[ensxetg00000031026(3e-81)]	5
ap1b1.l[ap1b1(0.0)]	5
ap1b1.s[ap1b1(0.0)]	52
ap1g1-like.1[ap1g1(4e-148)]	52
ap1g1-like.s[ap1g1(2e-143)]	45
ap1m1.s[ap1m1(0.0)]	1
ap1m2.1[ap1m2(0.0)]	50
ap1m2.l[ap1m2(4e-36)]	4
ap2a1.l[ap2a1(9e-67)]	21
ap3d1.l[ap3d1(0.0)]	101
ap3d1.s[ap3d1(0.0)]	6
ap3m2.l[ap3m2(0.0)]	12
ap3m2.s[ap3m2(0.0)]	17
ap3s1.l[ap3s1(0.0)]	1
ap3s1.s[ap3s1(0.0)]	9
apba3-like.l[apba3(0.0)]	119
apc.l[apc(0.0)]	8
apc.s[apc(0.0)]	8
apex1.l[apex1(5e-49)]	3
apex1.s[apex1(4e-30)]	60
aph1a.l[aph1a(2e-95)]	3
aph1a.s[aph1a(0.0)]	24
api5.l[api5(0.0)]	3
api5.s[api5(0.0)]	3
apip.s[apip(0.0)]	104
apln.l[apln(0.0)]	31
aplnr.l	41
aplnr.s	41
apobec2.l[apobec2(0.0)]	41
apoc1-like.l	48
apold1.l[apold1(0.0)]	1
aprt.1[aprt(0.0)]	2
aqp11.l[ensxetg00000030889(4e-177)]	31
aqp3.l[aqp3(0.0)]	46
aqr.l[aqr(2e-86)]	57
arcn1.l[arcn1(0.0)]	30
arel1.l[kiaa0317(0.0)]	10
arf1.l[arf1(1e-38)]	36
arf1.s[arf1(4e-56)]	7
arf3.l[arf3(0.0)]	43
arf4.1[arf4(0.0)]	30
arf4.s[arf4(0.0)]	30
arf5.l[arf5(2e-89)]	30
arf5.s[arf5(1e-92)]	12
arfgap1.l[arfgap1(2e-115)]	9
arfgap1.s[arfgap1(1e-147)]	7
arfgef2-like.l[arfgef2(0.0)|cse1l(0.0)]	9
arfgef2-like.s[arfgef2(0.0)]	5
arg1.l[arg1(0.0)]	120
arglu1.l[arglu1(0.0)]	26
arglu1.s[arglu1(0.0)]	77
arhgap1.l[arhgap1(0.0)]	122
arhgap11a.1.l[arhgap11a.1(0.0)]	26
arhgap17-like.l[arhgap17(0.0)]	111
arhgap19-like.l[arhgap19(0.0)]	66
arhgap21.l[arhgap21(0.0)]	94
arhgap21.s[arhgap21(0.0)]	94
arhgap23.l[arhgap23(0.0)]	21
arhgap27-like.l[arhgap27(0.0)]	50
arhgap28-like.1[arhgap28(3e-161)]	5
arhgap29.l[arhgap29(1e-43)]	13
arhgap33.s[arhgap33(3e-77)]	55
arhgap35-like.l[arhgap35(0.0)]	15
arhgap35-like.s[arhgap35(1e-179)]	21
arhgap5-like.l[arhgap5(9e-67)]	8
arhgap5-like.s[arhgap5(0.0)]	8
arhgdig.l[arhgdig(0.0)]	28
arhgdig.s[arhgdig(3e-71)]	2
arhgef1-like.l[arhgef1(0.0)]	122
arhgef1-like.s[arhgef1(0.0)]	123
arhgef11-like.l[arhgef11(8e-75)]	88
arhgef12.s[arhgef12(6e-88)]	69
arhgef16.l[arhgef16(0.0)]	4
arhgef37.s[arhgef37(5e-72)]	4
arhgef6.s[arhgef6(0.0)]	6
