GeneNames	PLNB	AE	NNE	ALNB	NP
42sp43.l[42sp43(4e-134)]	0.0702723853633534	0.237778348809143	0.127717417143736	0.250629095239172	0.313602753444595
42sp50.l[42sp50(0.0)]	0.171707460715661	0.216359507096624	0.120994797431373	0.246760326111833	0.244177908644509
6330408a02rik-like.1.s[c19orf68(0.0)]	0.23405279393487	0.245922074074983	0.0810170832591142	0.303638997025583	0.135369051705449
6330408a02rik-like.2.s[c19orf68(0.0)]	0.215148417235845	0.237268739710071	0.110075192692734	0.277773141741549	0.1597345086198
a2m.s[a2m(0.0)]	0.0954242832338803	0.790549998338501	0	0.0751115807070737	0.0389141377205446
aaas.l[aaas(3e-49)]	0.125851296067428	0.339920737221448	0.143157609567485	0.275266589740232	0.115803767403407
aacs.s[aacs(0.0)]	0.681527418581596	0.25016225345884	0.0683103279595638	0	0
aadacl4.s[aadacl4(0.0)]	0.0830908158236532	0.221048163844772	0.695861020331575	0	0
aadat.s[aadat(0.0)]	0	0.15172059891726	0.25946472137784	0.436082026329142	0.152732653375759
aaed1.s[c9orf21(1e-158)]	0.0307293647694925	0.148399474496503	0.687246603241586	0.0100644877881095	0.123560069704309
aagab-like.l[aagab(0.0)]	0.155550106366526	0.302157826287501	0.177298400203414	0.166936327798754	0.198057339343806
aagab-like.s[aagab(0.0)]	0.223269248332339	0.227077266589655	0.106364557885853	0.295482131143718	0.147806796048435
aak1.l[aak1(9e-42)]	0.151043512467414	0.299565855492254	0.221964303606935	0.18148863050737	0.145937697926027
aak1.s[aak1(0.0)]	0.0233873730906198	0.242085177537862	0.132325837505327	0.396937541456859	0.205264070409331
aar2.1[c20orf4(0.0)]	0.160433870889971	0.216364934438887	0.0746114992931684	0.345264172282443	0.203325523095531
aarsd1.l[aarsd1(6e-142)]	0.230603511230292	0.271271646758881	0.122862233128201	0.28127842871488	0.0939841801677452
aasdh-like.l[aasdh(1e-178)]	0.205011870608458	0.236197937935871	0.072694614227649	0.364520559057637	0.121575018170385
aasdhppt.s[aasdhppt(0.0)]	0.159550333934092	0.359144961822045	0.0835463733980812	0.217062240768571	0.18069609007721
aass.l[aass(0.0)]	0.176161436747848	0.267975334786972	0.133432836493981	0.242258383569426	0.180172008401774
aatf.s[aatf(3e-67)]	0.214887205505368	0.26521136180328	0.0819186266841964	0.354573203124574	0.083409602882581
aatk-like.l[aatk(9e-122)]	0.024561228316235	0.624484218645764	0	0.316118725519806	0.034835827518195
aatk-like.s[aatk(3e-65)]	0.43268676256999	0.0573922697680233	0	0.284079182181262	0.225841785480725
abat.l[abat(0.0)]	0.373440187151224	0.201345821902277	0.0760789916576711	0.308232074860415	0.0409029244284129
abat.s[abat(5e-56)]	0.219275542932736	0.204276262627431	0.160642987794263	0.204614493352385	0.211190713293186
abca1.l[abca1(0.0)]	0.212544806058105	0.220951132847114	0	0.323329438903712	0.243174622191069
abca1.s[abca1(0.0)]	0.34970321530615	0.110850081716213	0	0.374123940265704	0.165322762711932
abca2.l[abca2(0.0)]	0.0477266903737714	0.132133818291834	0.360010378609525	0.170304777300414	0.289824335424456
abca3-like.l[abca3(1e-49)]	0.129918923622045	0.188522531830473	0.116533625452271	0.224786624146999	0.340238294948212
abca3-like.s[abca3(0.0)]	0.0488887945948262	0.146902431724138	0.0850256253384951	0.227535524910339	0.491647623432202
abca4.l[abca4(0.0)]	0.0608366778124352	0.121147032364189	0.0979954938402565	0.583334760453044	0.136686035530076
abca5.l[abca5(0.0)]	0.247223258219591	0.274678331142917	0.10007422199908	0.165366052064482	0.21265813657393
abca8.l[abca8(0.0)|bcl2l1(1e-140)]	0.105474186038278	0.270257041569844	0.125910884049338	0.345061975540598	0.153295912801942
abcb5.l[ensxetg00000007433(0.0)]	0.0416156206699711	0.744594858693197	0	0.208209786606252	0.00557973403058004
abcb6.l[abcb6(0.0)]	0.117196860495936	0.203849694327571	0.134876579929765	0.415777726308076	0.128299138938651
abcb9.l[abcb9(0.0)]	0.421052849376458	0.194497244477588	0.0576935732811013	0.262048184389164	0.0647081484756884
abcc3.l[abcc3(0.0)]	0.0782943035015089	0	0.672453752283067	0.249251944215424	0
abcc4.l[abcc4(0.0)]	0.0486063604548485	0.36478948519111	0.0630926669886721	0.41787962956124	0.10563185780413
abcc4.s[abcc4(0.0)]	0.326189448551175	0.330737799526827	0	0.259748266688162	0.0833244852338361
abcd2-like.l	0.223220063993016	0	0.00468062022352089	0	0.772099315783463
abcd2-like.s	0	0	0	0.279715025839	0.720284974161
abcd3.s[abcd3(2e-35)]	0.210922153415038	0.274640116992212	0.051818786703553	0.196941775455687	0.26567716743351
abcd4-like.l[abcd4(0.0)]	0.183925269304124	0.208888320737499	0.133853581502198	0.283931003395054	0.189401825061125
abce1.l[abce1(0.0)]	0.224360103119807	0.212231018765885	0.120675944241396	0.30006393048868	0.142669003384231
